book_code,book_title,book_author,book_publisher,book_borrow,book_lang,book_type,book_year
88,된다! 김메주의 유튜브 영상 만들기-개정2판,김혜주,이지스퍼블리싱,0,kor,book,2010
89,Do it! 자바스크립트 입문,고경희,이지스퍼블리싱,0,kor,book,2011
90,Do it! 첫 통계 with 베이즈,사사키 준,이지스퍼블리싱,0,kor,book,2012
91,Do it! 딥러닝 교과서,윤성진,이지스퍼블리싱,0,kor,book,2013
92,바쁜 초등학생을 위한 빠른 독해 2단계,분당 영재사랑 교육연구소_ 호사라 지음,이지스에듀,0,kor,book,2014
93,Do it! 플러터 앱 프로그래밍,조준수,이지스퍼블리싱,0,kor,ebook,2015
94,7살 첫 한자 세트,징검다리 교육연구소 / 차세정_ 이민영 그림,이지스에듀,0,kor,book,2017
95,Do it! 플러터 앱 프로그래밍(개정판),조준수,이지스퍼블리싱,0,kor,book,2010
96,바쁜 3_ 4학년을 위한 빠른 뺄셈,징검다리 교육연구소_ 최순미,이지스에듀,0,kor,book,2011
97,바쁜 3_ 4학년을 위한 빠른 덧셈,징검다리 교육연구소_ 최순미,이지스에듀,0,kor,book,2018
98,바쁜 1_ 2학년을 위한 빠른 뺄셈,징검다리 교육연구소_ 최순미,이지스에듀,0,kor,book,2019
99,바쁜 1_ 2학년을 위한 빠른 덧셈,징검다리 교육연구소_ 최순미,이지스에듀,0,kor,book,2023
100,7살 첫 한자- 기초 한자 2,징검다리 교육연구소 / 차세정_ 이민영 그림,이지스에듀,0,kor,book,2022
101,7살 첫 한자- 기초 한자 1,징검다리 교육연구소 / 차세정_ 이민영 그림,이지스에듀,0,kor,book,2019
102,Do it! 자바 완전 정복,김동형,이지스퍼블리싱,0,kor,ebook,2018
103,Do it! 자바 완전 정복,김동형,이지스퍼블리싱,0,kor,book,2016
104,Do it! 인터랙티브 웹 페이지 만들기,최성일,이지스퍼블리싱,0,kor,book,2010
105,데이터는 어떻게 자산이 되는가?,김옥기,이지스퍼블리싱,0,kor,book,2011
106,바쁜 초등학생을 위한 빠른 독해 1단계,분당 영재사랑 교육연구소_ 호사라 지음,이지스에듀,0,kor,book,2012
107,Do it! 클론 코딩 트위터,니꼴라스_ 김준혁,이지스퍼블리싱,0,kor,book,2013
108,바쁜 예비 1학년을 위한 빠른 뺄셈,징검다리 교육연구소_ 최순미,이지스에듀,0,kor,book,2014
109,바쁜 예비 1학년을 위한 빠른 덧셈,징검다리 교육연구소_ 최순미,이지스에듀,0,kor,book,2015
110,Do it! 안드로이드 앱 프로그래밍(개정8판),정재곤,이지스퍼블리싱,0,kor,book,2017
111,Do it! 강화 학습 입문,조규남_ 맹윤호_ 임지순,이지스퍼블리싱,0,kor,book,2010
112,된다! 사각사각 아이패드 드로잉 with 프로크리에이트,레이나_ 임예진_ 캘리스마인드,이지스퍼블리싱,0,kor,book,2011
113,Do it! 오토캐드 2022,박한울,이지스퍼블리싱,0,kor,ebook,2018
114,바쁜 5_ 6학년을 위한 빠른 나눗셈,징검다리 교육연구소_ 최순미,이지스에듀,0,kor,book,2019
115,바쁜 5_ 6학년을 위한 빠른 곱셈,징검다리 교육연구소_ 강난영,이지스에듀,0,kor,book,2023
116,바쁜 5_ 6학년을 위한 빠른 소수,징검다리 교육연구소_ 최순미,이지스에듀,0,kor,book,2022
117,바쁜 5_ 6학년을 위한 빠른 분수,징검다리 교육연구소_ 강난영,이지스에듀,0,kor,book,2010
118,Do it! 오토캐드 2022,박한울,이지스퍼블리싱,0,kor,book,2011
119,Do it! 리액트 네이티브 앱 프로그래밍,전예홍,이지스퍼블리싱,0,kor,book,2012
120,바쁜 초등학생을 위한 빠른 사이트 워드 세트,박은정,이지스에듀,0,kor,book,2013
121,바쁜 초등학생을 위한 빠른 사이트 워드?,박은정,이지스에듀,0,kor,book,2014
122,바쁜 초등학생을 위한 빠른 맞춤법 세트(전 2권),분당 영재사랑 교육연구소_ 호사라 지음,이지스에듀,0,kor,book,2015
123,Do it! 반응형 웹 페이지 만들기,김운아,이지스퍼블리싱,0,kor,book,2017
124,바쁜 초등학생을 위한 빠른 맞춤법 2권,분당 영재사랑 교육연구소_ 호사라 지음,이지스에듀,0,kor,book,2010
125,7살 첫 국어 _ 1권 받침 없는 교과서 낱말,영재사랑 교육연구소 호사라 지음 / 차세정_ 이민영 그림,이지스에듀,0,kor,book,2011
126,Do it! 점프 투 장고,박응용,이지스퍼블리싱,0,kor,book,2018
127,Do it! 쉽게 배우는 R 텍스트 마이닝,김영우,이지스퍼블리싱,0,kor,book,2019
128,바쁜 초등학생을 위한 빠른 파닉스 세트,별쌤(Stephanie Yim),이지스에듀,0,kor,book,2023
129,바쁜 초등학생을 위한 빠른 파닉스 2. 단모음_ 장모음_ 이중 글자,별쌤(Stephanie Yim),이지스에듀,0,kor,book,2022
130,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,고경희,이지스퍼블리싱,0,kor,book,2019
131,바쁜 초등학생을 위한 빠른 사이트워드 ?,박은정,이지스에듀,0,kor,book,2018
132,Do it! 장고+부트스트랩 파이썬 웹 개발의 정석,이성용_ 김태곤,이지스퍼블리싱,0,kor,book,2016
133,된다! 스마트 워크를 위한 구글 업무 활용법,이광희,이지스퍼블리싱,0,kor,book,2011
134,나 혼자 푼다! 수학 문장제 6학년 2학기,징검다리 교육연구소_ 최순미,이지스에듀,0,kor,ebook,2018
135,Do it! 첫 코딩 with 파이썬,정동균,이지스퍼블리싱,0,kor,book,2019
136,Do it! 구글 애널리틱스 입문,김선영_ 한수창,이지스퍼블리싱,0,kor,book,2023
137,된다! 7일 프리미어 프로 유튜브 영상 편집,김예지,이지스퍼블리싱,0,kor,book,2022
138,바쁜 초등학생을 위한 빠른 시계와 시간,징검다리 교육연구소_ 강난영,이지스에듀,0,kor,book,2019
139,나 혼자 푼다! 수학 문장제 6학년 1학기,징검다리 교육연구소_ 최순미,이지스에듀,0,kor,ebook,2010
140,나 혼자 푼다! 수학 문장제 6학년 2학기,징검다리 교육연구소_ 최순미,이지스에듀,0,kor,book,2011
141,Do it! 점프 투 플라스크,박응용,이지스퍼블리싱,0,kor,book,2012
142,된다! 맥북&아이맥 - 맥OS 빅 서 판,김기백_ 조영빈_ 이민호_ 정다운,이지스퍼블리싱,0,kor,book,2013
143,7살 첫 국어 _ 2권 받침 있는 교과서 낱말,영재사랑 교육연구소 호사라 지음 / 차세정_ 이민영 그림,이지스에듀,0,kor,ebook,2014
144,7살 첫 국어 _ 1권 받침 없는 교과서 낱말,영재사랑 교육연구소 호사라 지음 / 차세정_ 이민영 그림,이지스에듀,0,kor,ebook,2015
145,된다! 포토샵&일러스트레이터 - 오늘 바로 되는 입문서,박길현_ 이현화,이지스퍼블리싱,0,kor,ebook,2017
146,7살 첫 국어 세트,영재사랑 교육연구소 호사라 지음 / 차세정_ 이민영 그림,이지스에듀,0,kor,book,2010
147,7살 첫 국어 _ 2권 받침 있는 교과서 낱말,영재사랑 교육연구소 호사라 지음 / 차세정_ 이민영 그림,이지스에듀,0,kor,book,2011
148,바쁜 초등학생을 위한 빠른 맞춤법 1권,분당 영재사랑 교육연구소_ 호사라 지음,이지스에듀,0,kor,book,2018
149,된다! 일러스트레이터 - 오늘 바로 되는 입문서,모나미_ 김정아,이지스퍼블리싱,0,kor,ebook,2010
150,된다! 일러스트레이터 - 오늘 바로 되는 입문서,모나미_ 김정아,이지스퍼블리싱,0,kor,book,2011
